n,rep,alpha,lambda,theta
100,55,2.6869150763014646,2.9475718470330885,2.8452360196439885
100,56,2.358380214091293,2.5930937551452122,2.4550031925609486
100,57,2.665234815941448,3.453782236195787,3.3729450793802713
100,58,2.785735885218393,3.2203473517956596,3.08969071050253
100,59,1.5302031328696661,2.193945951349397,1.943835375480318
100,60,2.9161235777560863,3.0552952597236485,2.955421859155039
100,61,1.7579973644189673,2.7284924317133923,2.434671901642808
100,62,2.2026921437595663,2.661446263700453,2.474404724818501
100,63,3.2626575381800627,3.170135101873139,3.1102122246112613
100,64,2.367710211294299,3.0118354306522623,2.885942632366536
100,65,2.3358996947242474,3.008524604954085,2.872134679838154
100,66,2.233420848148734,2.7732762418250703,2.67356654700056
100,67,2.1345859237648273,2.766409514495089,2.64114895699355
